"Country,
Other","Deaths in
1M pop","Total
Tests","Tests in
1M pop",Population
El Salvador,646,"2,610,114","398,467","6,550,389"
Afghanistan,191,"1,103,716","27,082","40,754,388"
Guadeloupe,"2,474","938,039","2,346,306","399,794"
Maldives,569,"2,213,831","4,092,223","540,985"
Trinidad and Tobago,"2,982","834,508","593,287","1,406,585"
Uganda,75,"3,012,408","62,198","48,432,863"
Namibia,"1,543","1,062,663","403,460","2,633,874"
Ghana,45,"2,504,017","77,295","32,395,450"
Jamaica,"1,111","1,183,986","396,633","2,985,094"
Cambodia,178,"3,069,567","178,789","17,168,639"
Rwanda,108,"5,816,624","427,678","13,600,464"
Cameroon,69,"1,751,774","62,762","27,911,548"
Malta,"1,815","2,060,900","4,641,322","444,033"
Angola,55,"1,499,795","42,818","35,027,343"
Barbados,"1,941","765,378","2,657,350","288,023"
French Guiana,"1,305","651,257","2,072,951","314,169"
DRC,15,"846,704","8,890","95,240,792"
Channel Islands,"1,145","1,252,808","7,099,551","176,463"
Senegal,111,"1,146,543","64,946","17,653,671"
Malawi,133,"616,772","30,562","20,180,839"
Ivory Coast,30,"1,628,106","58,687","27,742,298"
Suriname,"2,321","239,178","400,747","596,831"
French Polynesia,"2,284",,,"284,164"
New Caledonia,"1,079","98,964","340,182","290,915"
Eswatini,"1,200","1,045,903","882,755","1,184,817"
Guyana,"1,613","695,695","876,141","794,045"
Belize,"1,657","576,016","1,397,453","412,190"
Fiji,965,"662,620","728,581","909,466"
Madagascar,48,"512,993","17,581","29,178,077"
Sudan,108,"562,941","12,240","45,992,020"
Mauritania,203,"970,892","198,061","4,901,981"
Cabo Verde,722,"401,622","707,482","567,678"
Bhutan,27,"2,303,734","2,923,739","787,941"
Syria,163,"146,269","7,553","19,364,809"
Burundi,3,"345,742","27,386","12,624,840"
Gabon,131,"1,616,256","693,216","2,331,533"
Seychelles,"1,700",,,"99,426"
Andorra,"2,001","249,838","3,225,256","77,463"
Curaçao,"1,704","496,693","3,000,640","165,529"
Papua New Guinea,72,"249,149","26,813","9,292,169"
Aruba,"2,109","177,885","1,653,068","107,609"
Mauritius,803,"358,675","281,374","1,274,727"
Mayotte,653,"176,919","618,038","286,259"
Tanzania,13,,,"63,298,550"
Togo,33,"791,865","91,220","8,680,837"
Isle of Man,"1,353","150,753","1,758,422","85,732"
Guinea,32,"660,107","47,607","13,865,691"
Bahamas,"2,080","248,846","621,314","400,516"
Faeroe Islands,569,"778,000","15,802,409","49,233"
